Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,RegCheck,RegDate,CleanedRegDate
REG100019,23-04-2022,2022,Karnataka,Mysore (KA-09),2W,Scooter,Hero,EV,BS6,0,2,2,REG19,23/04/2022,4/23/2022
REG100020,9/12/2022,2022,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Yamaha,Petrol,BS6,350,2,2,REG19,9/12/2022,9/12/2022
REG100021,27-07-2020,2020,Karnataka,Delhi South (DL-09),2W,Moped,Ola Electric,EV,BS6,0,2,4,REG19,27/07/2020,7/27/2020
REG100022,28-01-2022,2022,Karnataka,Bangalore Central (KA-01),4W,SUV,Honda,Diesel,BS6,1000,5,2,REG19,28/01/2022,1/28/2022
REG100023,12/3/2020,2020,Karnataka,Agra (UP-80),4W,Hatchback,Mahindra,Petrol,BS6,1968,6,4,REG19,12/3/2020,12/3/2020
REG100024,4/10/2019,2019,Karnataka,Rajkot (GJ-03),2W,Motorcycle,KTM,EV,BS4,0,2,5,REG19,4/10/2019,4/10/2019
REG100025,25-03-2024,2024,Karnataka,Mysore (KA-09),2W,Scooter,KTM,Petrol,BS6,250,2,0,REG19,25/03/2024,3/25/2024
REG100026,12/10/2023,2023,Karnataka,Nashik (MH-15),2W,Scooter,Royal Enfield,Petrol,BS6,350,2,1,REG19,12/10/2023,12/10/2023
REG100027,10/6/2022,2022,Karnataka,Coimbatore (TN-37),2W,Motorcycle,Ola Electric,CNG,BS6,100,2,2,REG19,10/6/2022,10/6/2022
REG100028,5/4/2024,2024,Karnataka,Aurangabad (MH-20),3W,Tempo,Piaggio,CNG,BS6,200,7,0,REG19,5/4/2024,5/4/2024
REG100029,11/2/2022,2022,Karnataka,Mysore (KA-09),2W,Moped,Bajaj,EV,BS6,0,2,2,REG19,11/2/2022,11/2/2022
REG100030,3/5/2023,2023,Karnataka,Ujjain (MP-13),4W,SUV,Kia,Petrol,BS6,1498,8,1,REG19,3/5/2023,3/5/2023
REG100031,21-02-2023,2023,Karnataka,Madurai (TN-58),3W,Auto Rickshaw,Bajaj,Diesel,BS6,200,7,1,REG19,21/02/2023,2/21/2023
REG100032,13-08-2021,2021,Karnataka,Delhi South (DL-09),2W,Scooter,Honda,Petrol,BS6,400,2,3,REG19,13/08/2021,8/13/2021
REG100033,9/3/2024,2024,Karnataka,Kozhikode (KL-11),4W,Hatchback,Renault,Petrol,BS6,1498,5,0,REG19,9/3/2024,9/3/2024
REG100034,18-12-2023,2023,Karnataka,Belgaum (KA-22),2W,Scooter,Ola Electric,Petrol,BS6,160,2,1,REG19,18/12/2023,12/18/2023
REG100035,23-01-2022,2022,Karnataka,Karimnagar (TS-01),2W,Motorcycle,Honda,EV,BS6,0,2,2,REG19,23/01/2022,1/23/2022
REG100036,7/8/2022,2022,Karnataka,Jodhpur (RJ-19),4W,SUV,Tata Motors,Hybrid,BS6,0,5,2,REG19,7/8/2022,7/8/2022
REG100037,10/10/2023,2023,Karnataka,Bangalore Central (KA-01),HCV,Bus,Eicher,Diesel,BS6,4998,45,1,REG19,10/10/2023,10/10/2023
REG100038,22-02-2023,2023,Karnataka,Chennai Central (TN-01),2W,Motorcycle,Yamaha,Petrol,BS6,200,2,1,REG19,22/02/2023,2/22/2023
REG100039,30-07-2024,2024,Karnataka,Karimnagar (TS-01),OTH,Road Roller,TAFE,Diesel,BS6,3760,2,0,REG19,30/07/2024,7/30/2024
REG100040,25-02-2020,2020,Karnataka,Kozhikode (KL-11),4W,MUV,Mahindra,Petrol,BS4,1968,5,4,REG19,25/02/2020,2/25/2020
REG100041,25-04-2023,2023,Karnataka,Howrah (WB-13),2W,Scooter,Yamaha,Petrol,BS6,100,2,1,REG19,25/04/2023,4/25/2023
REG100042,18-09-2021,2021,Karnataka,Indore (MP-09),2W,Scooter,Honda,Hybrid,BS6,250,2,3,REG19,18/09/2021,9/18/2021
REG100043,20-01-2020,2020,Karnataka,Ujjain (MP-13),2W,Motorcycle,Honda,Petrol,BS6,110,2,4,REG19,20/01/2020,1/20/2020
REG100044,16-07-2024,2024,Karnataka,Jalandhar (PB-08),2W,Scooter,Suzuki,EV,BS6,0,2,0,REG19,16/07/2024,7/16/2024
REG100045,17-12-2024,2024,Karnataka,Delhi West (DL-08),2W,Scooter,Hero,EV,BS6,0,2,0,REG19,17/12/2024,12/17/2024
REG100046,3/6/2021,2021,Karnataka,Udaipur (RJ-27),2W,Moped,Yamaha,EV,BS6,0,2,3,REG19,3/6/2021,3/6/2021
REG100047,7/12/2019,2019,Karnataka,Rajkot (GJ-03),2W,Moped,Royal Enfield,EV,BS4,0,2,5,REG19,7/12/2019,7/12/2019
REG100048,27-05-2023,2023,Karnataka,Indore (MP-09),4W,SUV,Honda,CNG,BS6,1462,8,1,REG19,27/05/2023,5/27/2023
REG100049,31-08-2023,2023,Karnataka,Patiala (PB-11),4W,MUV,MG,Diesel,BS6,1197,5,1,REG19,31/08/2023,8/31/2023
REG100050,25-04-2020,2020,Karnataka,Gandhinagar (GJ-18),4W,SUV,Hyundai,Hybrid,BS6,1462,6,4,REG19,25/04/2020,4/25/2020
REG100051,19-11-2019,2019,Karnataka,Mumbai Central (MH-01),2W,Scooter,Ola Electric,Hybrid,BS4,0,2,5,REG19,19/11/2019,11/19/2019
REG100052,24-02-2023,2023,Karnataka,Delhi North (DL-04),3W,Auto Rickshaw,Piaggio,EV,BS6,0,3,1,REG19,24/02/2023,2/24/2023
REG100053,8/12/2022,2022,Karnataka,Trichy (TN-45),3W,Tempo,Piaggio,CNG,BS6,250,6,2,REG19,8/12/2022,8/12/2022
REG100054,19-08-2023,2023,Karnataka,Patiala (PB-11),2W,Moped,KTM,Petrol,BS6,160,2,1,REG19,19/08/2023,8/19/2023
REG100055,27-05-2022,2022,Karnataka,Delhi West (DL-08),4W,MUV,Mahindra,Petrol,BS6,1462,7,2,REG19,27/05/2022,5/27/2022
REG100056,19-03-2020,2020,Karnataka,Kota (RJ-20),LCV,Mini Truck,Mahindra,Diesel,BS4,2956,9,4,REG19,19/03/2020,3/19/2020
REG100057,18-07-2020,2020,Karnataka,Varanasi (UP-65),2W,Scooter,Suzuki,Petrol,BS6,0,2,4,REG19,18/07/2020,7/18/2020
REG100058,2/6/2018,2018,Karnataka,Thiruvananthapuram (KL-01),LCV,Light Bus,Force Motors,Diesel,BS4,0,12,6,REG19,2/6/2018,2/6/2018
REG100059,15-01-2021,2021,Karnataka,Khammam (TS-07),4W,Sedan,MG,Petrol,BS6,1968,7,3,REG19,15/01/2021,1/15/2021
REG100060,31-10-2022,2022,Karnataka,Jabalpur (MP-20),4W,MUV,Tata Motors,CNG,BS6,800,5,2,REG19,31/10/2022,10/31/2022
REG100061,19-04-2021,2021,Karnataka,Jabalpur (MP-20),2W,Scooter,TVS,Petrol,BS6,350,2,3,REG19,19/04/2021,4/19/2021
REG100062,9/5/2024,2024,Karnataka,Kota (RJ-20),4W,MUV,Kia,Hybrid,BS6,1000,8,0,REG19,9/5/2024,9/5/2024
REG100063,21-01-2019,2019,Karnataka,Aurangabad (MH-20),2W,Scooter,Bajaj,EV,BS4,0,2,5,REG19,21/01/2019,1/21/2019
REG100064,28-02-2019,2019,Karnataka,Delhi East (DL-02),LCV,Light Bus,Mahindra,Diesel,BS4,2956,12,5,REG19,28/02/2019,2/28/2019
REG100065,28-02-2024,2024,Karnataka,Kozhikode (KL-11),4W,Sedan,Skoda,CNG,BS6,1197,7,0,REG19,28/02/2024,2/28/2024
REG100066,22-07-2024,2024,Karnataka,Belgaum (KA-22),2W,Scooter,Ola Electric,CNG,BS6,150,2,0,REG19,22/07/2024,7/22/2024
REG100067,4/11/2023,2023,Karnataka,Belgaum (KA-22),4W,Sedan,Hyundai,EV,BS6,0,5,1,REG19,4/11/2023,4/11/2023
REG100068,4/8/2023,2023,Karnataka,Ajmer (RJ-01),2W,Scooter,Honda,EV,BS6,0,2,1,REG19,4/8/2023,4/8/2023
REG100069,25-09-2022,2022,Karnataka,Mangalore (KA-19),HCV,Tanker,MAN,Diesel,BS6,5660,52,2,REG19,25/09/2022,9/25/2022
REG100070,14-02-2021,2021,Karnataka,Karimnagar (TS-01),3W,Tempo,Atul Auto,CNG,BS6,250,6,3,REG19,14/02/2021,2/14/2021
REG100071,4/4/2022,2022,Karnataka,Delhi North (DL-04),4W,MUV,Toyota,Petrol,BS6,2179,6,2,REG19,4/4/2022,4/4/2022
REG100072,13-02-2018,2018,Karnataka,Kota (RJ-20),2W,Moped,Royal Enfield,EV,BS4,0,2,6,REG19,13/02/2018,2/13/2018
REG100073,18-08-2023,2023,Karnataka,Thrissur (KL-08),3W,Auto Rickshaw,Kinetic Green,Diesel,BS6,200,3,1,REG19,18/08/2023,8/18/2023
REG100074,11/10/2022,2022,Karnataka,Surat (GJ-05),2W,Motorcycle,Royal Enfield,EV,BS6,0,2,2,REG19,11/10/2022,11/10/2022
REG100075,6/6/2023,2023,Karnataka,Udaipur (RJ-27),OTH,Road Roller,John Deere,Diesel,BS6,5660,2,1,REG19,6/6/2023,6/6/2023
REG100076,21-04-2023,2023,Karnataka,Mysore (KA-09),2W,Moped,Ather,Hybrid,BS6,350,2,1,REG19,21/04/2023,4/21/2023
REG100077,31-05-2024,2024,Karnataka,Gandhinagar (GJ-18),OTH,Road Roller,Escorts,Diesel,BS6,4998,32,0,REG19,31/05/2024,5/31/2024
REG100078,11/10/2018,2018,Karnataka,Madurai (TN-58),2W,Moped,TVS,Petrol,BS4,160,2,6,REG19,11/10/2018,11/10/2018
REG100079,3/9/2022,2022,Karnataka,Kochi (KL-07),4W,MUV,Hyundai,Petrol,BS6,2179,7,2,REG19,3/9/2022,3/9/2022
REG100080,23-10-2021,2021,Karnataka,Chennai Central (TN-01),2W,Scooter,Honda,Petrol,BS6,100,2,3,REG19,23/10/2021,10/23/2021
REG100081,2/8/2019,2019,Karnataka,Coimbatore (TN-37),4W,SUV,Hyundai,Petrol,BS6,1462,8,5,REG19,2/8/2019,2/8/2019
REG100082,9/11/2022,2022,Karnataka,Siliguri (WB-73),2W,Moped,Suzuki,Petrol,BS6,110,2,2,REG19,9/11/2022,9/11/2022
REG100083,21-03-2020,2020,Karnataka,Delhi East (DL-02),2W,Motorcycle,TVS,Petrol,BS6,100,2,4,REG19,21/03/2020,3/21/2020
REG100084,24-05-2020,2020,Karnataka,Varanasi (UP-65),4W,MUV,Kia,Petrol,BS4,2179,5,4,REG19,24/05/2020,5/24/2020
REG100085,18-03-2022,2022,Karnataka,Indore (MP-09),HCV,Bus,BharatBenz,Diesel,BS6,5660,2,2,REG19,18/03/2022,3/18/2022
REG100086,13-08-2023,2023,Karnataka,Bangalore Central (KA-01),2W,Scooter,Ola Electric,Hybrid,BS6,110,2,1,REG19,13/08/2023,8/13/2023
REG100087,3/11/2022,2022,Karnataka,Durgapur (WB-40),4W,SUV,Renault,Diesel,BS6,800,8,2,REG19,3/11/2022,3/11/2022
REG100088,27-10-2024,2024,Karnataka,Kozhikode (KL-11),4W,Hatchback,Hyundai,Petrol,BS6,800,7,0,REG19,27/10/2024,10/27/2024
REG100089,3/4/2023,2023,Karnataka,Chandigarh (CH-01),4W,Sedan,MG,Diesel,BS6,1968,8,1,REG19,3/4/2023,3/4/2023
REG100090,18-06-2019,2019,Karnataka,Mangalore (KA-19),2W,Scooter,Yamaha,CNG,BS4,250,2,5,REG19,18/06/2019,6/18/2019
REG100091,10/5/2022,2022,Karnataka,Thrissur (KL-08),2W,Scooter,Ather,Petrol,BS6,200,2,2,REG19,10/5/2022,10/5/2022
REG100092,23-09-2021,2021,Karnataka,Mangalore (KA-19),LCV,Mini Truck,Eicher,Diesel,BS6,3298,15,3,REG19,23/09/2021,9/23/2021
REG100093,13-08-2019,2019,Karnataka,Siliguri (WB-73),4W,Sedan,Kia,CNG,BS4,2179,5,5,REG19,13/08/2019,8/13/2019
REG100094,17-02-2018,2018,Karnataka,Aurangabad (MH-20),4W,Sedan,Kia,CNG,BS4,1462,5,6,REG19,17/02/2018,2/17/2018
REG100095,20-05-2021,2021,Karnataka,Kolkata (WB-01),4W,Sedan,MG,EV,BS6,0,8,3,REG19,20/05/2021,5/20/2021
REG100096,10/3/2024,2024,Karnataka,Howrah (WB-13),3W,Auto Rickshaw,Mahindra,CNG,BS6,200,6,0,REG19,10/3/2024,10/3/2024
REG100097,24-10-2023,2023,Karnataka,Agra (UP-80),HCV,Trailer,Tata Motors,Diesel,BS6,6700,2,1,REG19,24/10/2023,10/24/2023
REG100098,14-06-2022,2022,Karnataka,Asansol (WB-39),3W,E-Rickshaw,Atul Auto,Petrol,BS6,225,7,2,REG19,14/06/2022,6/14/2022
REG100099,15-07-2023,2023,Karnataka,Delhi South (DL-09),2W,Scooter,Hero,Petrol,BS6,250,2,1,REG19,15/07/2023,7/15/2023
REG100100,21-02-2024,2024,Karnataka,Indore (MP-09),3W,Auto Rickshaw,Piaggio,Diesel,BS6,0,3,0,REG19,21/02/2024,2/21/2024
REG100101,28-08-2024,2024,Karnataka,Karimnagar (TS-01),2W,Motorcycle,Suzuki,EV,BS6,0,2,0,REG19,28/08/2024,8/28/2024
REG100102,11/6/2024,2024,Karnataka,Ajmer (RJ-01),4W,Hatchback,Toyota,EV,BS6,0,5,0,REG19,11/6/2024,11/6/2024
REG100103,20-02-2023,2023,Karnataka,Chandigarh (CH-01),2W,Moped,Royal Enfield,Petrol,BS6,110,2,1,REG19,20/02/2023,2/20/2023
REG100104,3/7/2023,2023,Karnataka,Howrah (WB-13),4W,Hatchback,Maruti Suzuki,Diesel,BS6,1598,8,1,REG19,3/7/2023,3/7/2023
REG100105,14-11-2019,2019,Karnataka,Coimbatore (TN-37),4W,Sedan,Tata Motors,Petrol,BS4,1462,8,5,REG19,14/11/2019,11/14/2019
REG100106,26-08-2020,2020,Karnataka,Ludhiana (PB-10),2W,Moped,Royal Enfield,EV,BS6,0,2,4,REG19,26/08/2020,8/26/2020
REG100107,20-12-2021,2021,Karnataka,Ujjain (MP-13),2W,Scooter,Yamaha,EV,BS6,0,2,3,REG19,20/12/2021,12/20/2021
REG100108,2/7/2020,2020,Karnataka,Durgapur (WB-40),2W,Scooter,KTM,Petrol,BS6,0,2,4,REG19,2/7/2020,2/7/2020
REG100109,26-01-2018,2018,Karnataka,Vadodara (GJ-06),2W,Moped,Suzuki,Petrol,BS4,0,2,6,REG19,26/01/2018,1/26/2018
REG100110,22-11-2023,2023,Karnataka,Thrissur (KL-08),LCV,Pickup Van,Mahindra,CNG,BS6,2956,15,1,REG19,22/11/2023,11/22/2023
REG100111,9/3/2018,2018,Karnataka,Surat (GJ-05),4W,Hatchback,Kia,Diesel,BS4,1000,7,6,REG19,9/3/2018,9/3/2018
REG100112,26-03-2022,2022,Karnataka,Udaipur (RJ-27),2W,Motorcycle,Ather,Petrol,BS6,160,2,2,REG19,26/03/2022,3/26/2022
REG100113,25-04-2024,2024,Karnataka,Durgapur (WB-40),4W,SUV,Hyundai,Diesel,BS6,1968,7,0,REG19,25/04/2024,4/25/2024
REG100114,11/12/2021,2021,Karnataka,Mangalore (KA-19),2W,Moped,Honda,EV,BS4,0,2,3,REG19,11/12/2021,11/12/2021
REG100115,13-11-2020,2020,Karnataka,Jalandhar (PB-08),4W,SUV,Hyundai,EV,BS6,0,7,4,REG19,13/11/2020,11/13/2020
REG100116,24-01-2021,2021,Karnataka,Ludhiana (PB-10),4W,MUV,Kia,EV,BS6,0,7,3,REG19,24/01/2021,1/24/2021
REG100117,23-12-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,TVS,Petrol,BS6,400,2,2,REG19,23/12/2022,12/23/2022
REG100118,12/11/2019,2019,Karnataka,Allahabad (UP-70),4W,Sedan,Honda,EV,BS4,0,7,5,REG19,12/11/2019,12/11/2019
REG100119,8/7/2019,2019,Karnataka,Nagpur (MH-31),2W,Scooter,Bajaj,Petrol,BS4,400,2,5,REG19,8/7/2019,8/7/2019
REG100120,16-02-2024,2024,Karnataka,Gwalior (MP-07),2W,Scooter,Bajaj,Petrol,BS6,150,2,0,REG19,16/02/2024,2/16/2024
REG100121,15-04-2024,2024,Karnataka,Ujjain (MP-13),OTH,Tractor,John Deere,Diesel,BS6,3760,52,0,REG19,15/04/2024,4/15/2024
REG100122,2/1/2020,2020,Karnataka,Delhi South (DL-09),2W,Motorcycle,Yamaha,Hybrid,BS6,160,2,4,REG19,2/1/2020,2/1/2020
REG100123,8/1/2024,2024,Karnataka,Coimbatore (TN-37),4W,Sedan,Hyundai,EV,BS6,0,6,0,REG19,8/1/2024,8/1/2024
REG100124,28-02-2023,2023,Karnataka,Amritsar (PB-02),2W,Scooter,Hero,Petrol,BS6,110,2,1,REG19,28/02/2023,2/28/2023
REG100125,23-01-2020,2020,Karnataka,Siliguri (WB-73),4W,Hatchback,MG,Diesel,BS6,0,7,4,REG19,23/01/2020,1/23/2020
REG100126,31-12-2023,2023,Karnataka,Kolkata (WB-01),2W,Scooter,Suzuki,Petrol,BS6,350,2,1,REG19,31/12/2023,12/31/2023
REG100127,27-10-2021,2021,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Honda,Petrol,BS6,400,2,3,REG19,27/10/2021,10/27/2021
REG100128,9/8/2022,2022,Karnataka,Kozhikode (KL-11),2W,Moped,Ather,Petrol,BS6,110,2,2,REG19,9/8/2022,9/8/2022
REG100129,19-08-2024,2024,Karnataka,Thiruvananthapuram (KL-01),LCV,Light Bus,Eicher,EV,BS6,0,12,0,REG19,19/08/2024,8/19/2024
REG100130,11/5/2022,2022,Karnataka,Udaipur (RJ-27),2W,Moped,Honda,Petrol,BS6,200,2,2,REG19,11/5/2022,11/5/2022
REG100131,10/7/2019,2019,Karnataka,Salem (TN-30),2W,Motorcycle,Honda,EV,BS6,0,2,5,REG19,10/7/2019,10/7/2019
REG100132,5/8/2021,2021,Karnataka,Hyderabad (TS-09),4W,SUV,Hyundai,Diesel,BS6,800,7,3,REG19,5/8/2021,5/8/2021
REG100133,24-04-2020,2020,Karnataka,Amritsar (PB-02),2W,Moped,Ather,Petrol,BS6,110,2,4,REG19,24/04/2020,4/24/2020
REG100134,15-11-2023,2023,Karnataka,Ajmer (RJ-01),2W,Scooter,Ola Electric,Petrol,BS6,0,2,1,REG19,15/11/2023,11/15/2023
REG100135,7/6/2020,2020,Karnataka,Ujjain (MP-13),2W,Moped,Royal Enfield,Petrol,BS4,200,2,4,REG19,7/6/2020,7/6/2020
REG100136,21-11-2021,2021,Karnataka,Jaipur (RJ-14),2W,Motorcycle,Ola Electric,EV,BS6,0,2,3,REG19,21/11/2021,11/21/2021
REG100137,15-06-2020,2020,Karnataka,Belgaum (KA-22),2W,Scooter,KTM,Petrol,BS6,0,2,4,REG19,15/06/2020,6/15/2020
REG100138,11/2/2022,2022,Karnataka,Chandigarh (CH-01),LCV,Mini Truck,Mahindra,EV,BS6,0,12,2,REG19,11/2/2022,11/2/2022
REG100139,28-02-2020,2020,Karnataka,Jabalpur (MP-20),3W,E-Rickshaw,Mahindra,CNG,BS6,250,6,4,REG19,28/02/2020,2/28/2020
REG100140,22-07-2021,2021,Karnataka,Hubli (KA-25),4W,MUV,Renault,EV,BS6,0,5,3,REG19,22/07/2021,7/22/2021
REG100141,12/9/2021,2021,Karnataka,Delhi West (DL-08),HCV,Bus,Volvo,Diesel,BS6,6700,2,3,REG19,12/9/2021,12/9/2021
REG100142,6/2/2023,2023,Karnataka,Salem (TN-30),4W,Sedan,Renault,CNG,BS6,1968,5,1,REG19,6/2/2023,6/2/2023
REG100143,30-12-2022,2022,Karnataka,Lucknow (UP-32),3W,Auto Rickshaw,TVS,EV,BS6,0,6,2,REG19,30/12/2022,12/30/2022
REG100144,5/7/2022,2022,Karnataka,Mangalore (KA-19),2W,Scooter,TVS,EV,BS6,0,2,2,REG19,5/7/2022,5/7/2022
REG100145,23-06-2019,2019,Karnataka,Lucknow (UP-32),2W,Moped,Suzuki,EV,BS4,0,2,5,REG19,23/06/2019,6/23/2019
REG100146,28-06-2022,2022,Karnataka,Jodhpur (RJ-19),2W,Moped,Honda,EV,BS4,0,2,2,REG19,28/06/2022,6/28/2022
REG100147,1/12/2020,2020,Karnataka,Kochi (KL-07),2W,Motorcycle,Royal Enfield,Petrol,BS6,110,2,4,REG19,1/12/2020,1/12/2020
REG100148,26-11-2023,2023,Karnataka,Salem (TN-30),3W,Tempo,Atul Auto,Diesel,BS6,250,7,1,REG19,26/11/2023,11/26/2023
REG100149,30-10-2021,2021,Karnataka,Jodhpur (RJ-19),2W,Scooter,KTM,EV,BS6,0,2,3,REG19,30/10/2021,10/30/2021
REG100150,9/2/2018,2018,Karnataka,Ajmer (RJ-01),2W,Scooter,KTM,Petrol,BS4,110,2,6,REG19,9/2/2018,9/2/2018
REG100151,22-01-2024,2024,Karnataka,Patiala (PB-11),3W,E-Rickshaw,Atul Auto,EV,BS6,0,7,0,REG19,22/01/2024,1/22/2024
REG100152,22-02-2024,2024,Karnataka,Indore (MP-09),2W,Scooter,Ather,Petrol,BS6,200,2,0,REG19,22/02/2024,2/22/2024
REG100153,26-09-2023,2023,Karnataka,Thiruvananthapuram (KL-01),3W,Auto Rickshaw,Bajaj,CNG,BS6,225,6,1,REG19,26/09/2023,9/26/2023
REG100154,21-06-2023,2023,Karnataka,Kota (RJ-20),2W,Scooter,Ola Electric,Petrol,BS6,110,2,1,REG19,21/06/2023,6/21/2023
REG100155,5/11/2023,2023,Karnataka,Jaipur (RJ-14),4W,MUV,Kia,Petrol,BS6,1197,7,1,REG19,5/11/2023,5/11/2023
REG100156,8/3/2023,2023,Karnataka,Belgaum (KA-22),4W,SUV,Kia,EV,BS6,0,7,1,REG19,8/3/2023,8/3/2023
REG100157,17-12-2023,2023,Karnataka,Karimnagar (TS-01),4W,SUV,Tata Motors,EV,BS6,0,5,1,REG19,17/12/2023,12/17/2023
REG100158,23-06-2020,2020,Karnataka,Jabalpur (MP-20),3W,Auto Rickshaw,TVS,CNG,BS6,0,3,4,REG19,23/06/2020,6/23/2020
REG100159,27-09-2023,2023,Karnataka,Delhi East (DL-02),2W,Scooter,Honda,EV,BS6,0,2,1,REG19,27/09/2023,9/27/2023
REG100160,3/4/2021,2021,Karnataka,Gwalior (MP-07),LCV,Light Bus,Mahindra,CNG,BS6,2956,15,3,REG19,3/4/2021,3/4/2021
REG100161,18-08-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,Bajaj,EV,BS6,0,2,2,REG19,18/08/2022,8/18/2022
REG100162,14-08-2023,2023,Karnataka,Warangal (TS-03),2W,Scooter,Bajaj,Petrol,BS6,350,2,1,REG19,14/08/2023,8/14/2023
REG100163,9/5/2023,2023,Karnataka,Rajkot (GJ-03),3W,E-Rickshaw,Piaggio,CNG,BS6,200,7,1,REG19,9/5/2023,9/5/2023
REG100164,24-03-2021,2021,Karnataka,Durgapur (WB-40),4W,Hatchback,Renault,Petrol,BS4,1498,8,3,REG19,24/03/2021,3/24/2021
REG100165,31-07-2024,2024,Karnataka,Warangal (TS-03),LCV,Mini Truck,Mahindra,Diesel,BS6,2523,12,0,REG19,31/07/2024,7/31/2024
REG100166,29-11-2018,2018,Karnataka,Nizamabad (TS-05),2W,Motorcycle,Yamaha,Petrol,BS4,200,2,6,REG19,29/11/2018,11/29/2018
REG100167,12/11/2023,2023,Karnataka,Coimbatore (TN-37),2W,Scooter,TVS,Hybrid,BS6,100,2,1,REG19,12/11/2023,12/11/2023
REG100168,26-02-2022,2022,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Ather,CNG,BS6,160,2,2,REG19,26/02/2022,2/26/2022
REG100169,2/2/2023,2023,Karnataka,Delhi West (DL-08),2W,Motorcycle,Suzuki,EV,BS6,0,2,1,REG19,2/2/2023,2/2/2023
REG100170,30-06-2022,2022,Karnataka,Asansol (WB-39),4W,Sedan,Tata Motors,Petrol,BS6,1462,8,2,REG19,30/06/2022,6/30/2022
REG100171,11/10/2022,2022,Karnataka,Chennai Central (TN-01),3W,E-Rickshaw,Bajaj,EV,BS6,0,6,2,REG19,11/10/2022,11/10/2022
REG100172,26-06-2018,2018,Karnataka,Kolkata (WB-01),4W,SUV,Kia,Hybrid,BS4,1462,5,6,REG19,26/06/2018,6/26/2018
REG100173,17-12-2023,2023,Karnataka,Amritsar (PB-02),2W,Scooter,Ather,Petrol,BS6,350,2,1,REG19,17/12/2023,12/17/2023
